+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                     ;
+-----------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-----------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; controlUnit                                                                                               ; 5     ; 4              ; 0            ; 4              ; 9      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[7].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[6].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[5].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[4].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[3].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[2].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|finalComparators[1].comparator_0                                                         ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|finalComparators[3].comparator_0                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|finalComparators[2].comparator_0                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|finalComparators[1].comparator_0                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1|finalComparators[0].comparator_2 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1|oddEvenMerge[1].comparator_1     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1|oddEvenMerge[0].comparator_0     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1                                  ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0|finalComparators[0].comparator_2 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0|oddEvenMerge[1].comparator_1     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0|oddEvenMerge[0].comparator_0     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0                                  ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[1].merge4to8_1                                                              ; 128   ; 0              ; 0            ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|finalComparators[3].comparator_0                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|finalComparators[2].comparator_0                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|finalComparators[1].comparator_0                             ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1|finalComparators[0].comparator_2 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1|oddEvenMerge[1].comparator_1     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1|oddEvenMerge[0].comparator_0     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1                                  ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0|finalComparators[0].comparator_2 ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0|oddEvenMerge[1].comparator_1     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0|oddEvenMerge[0].comparator_0     ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0                                  ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|oddEvenMerge[0].merge4to8_0                                                              ; 128   ; 0              ; 0            ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16|register                                                                                 ; 260   ; 0              ; 0            ; 0              ; 256    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_8to16                                                                                          ; 260   ; 0              ; 0            ; 0              ; 256    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; mergeUnit|_4to8|finalComparators[3].comparator_0                                                          ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
